Country,Suicide rates,Age: 70+ years,Age: 50-69 years,Age: 15-49 years,Age: 5-14 years,Female suicide rate,Male suicide rate
Tonga,5.19,11.34,6.35,6.95,0.42,3.93,7.96
Iran,5.18,6.47,5.35,7.87,0.3,3.15,7.7
Albania,5.03,8.44,5.51,7.13,0.73,2.94,7.35
Bahrain,4.98,8.52,4.74,7.12,0.13,1.75,5.68
Italy,4.85,11.66,9.13,6.01,0.14,2.03,7.73
Dominica,4.84,12.11,7.02,5.92,0.22,1.41,7.64
Panama,4.7,8.21,6.2,6.34,0.38,1.52,8.47
Bangladesh,4.67,8.83,6.21,5.82,1.17,5.73,6.24
Grenada,4.6,12.86,8.4,4.9,0.14,1.88,7.7
Middle East & North Africa (WB),4.58,7.74,6.32,6.18,0.23,2.88,6.74
Libya,4.52,6.1,5.22,6.76,0.17,3.66,12.24
Saudi Arabia,4.32,6.36,6.59,6.11,0.06,0.86,4.4
Philippines,4.29,6.78,5.22,5.99,0.28,2.94,9.1
Malta,4.18,10.06,6.02,5.44,0.14,1.49,7.67
Cyprus,4.16,6.34,6.22,5.78,0.09,1.72,7.64
Qatar,4.14,8.62,4.04,5.6,0.13,1.13,5.83
Myanmar,3.79,6.68,4.73,5.16,0.37,1.82,8.75
Maldives,3.78,12.06,4.36,4.98,0.09,1.39,4.72
Barbados,3.74,10.72,6.01,4.42,0.17,1.38,6.94
Papua New Guinea,3.64,6.97,6.04,4.32,0.25,10.81,34.81
Azerbaijan,3.6,10.04,5.43,4.13,0.23,1.62,6.91
Egypt,3.58,7.24,6.43,4.08,0.21,2.72,8.09
Algeria,3.55,5.52,3.53,5.2,0.27,2.23,5.99
Greece,3.48,7.18,6.8,4.38,0.08,1.3,5.83
Lebanon,3.4,5.61,3.84,4.94,0.14,2.15,7.47
Honduras,3.33,12.69,6.9,2.53,0.1,1.76,7.29
Tunisia,3.33,7.09,3.92,4.57,0.2,1.54,4.75
Bermuda,3.21,10.94,5.12,3.68,0.08,0.84,6.45
Indonesia,3.02,7.95,3.77,3.73,0.22,1.55,4.73
Peru,2.89,5.22,3.72,3.92,0.29,1.52,4.81
Palestine,2.84,5.18,4.05,3.66,0.1,1.55,5.46
Turkey,2.81,5.35,3.9,3.65,0.38,1.33,5.36
Bahamas,2.8,5.51,3.85,3.76,0.08,1.05,5.54
Jamaica,2.8,5.9,4.65,3.34,0.17,1.1,6.23
Oman,2.77,8.4,3.33,3.16,0.16,1.2,3.85
Antigua and Barbuda,2.75,5.52,3.3,3.77,0.07,0.93,8.32
Kuwait,2.68,6.67,3.6,3.64,0.1,0.92,3.74
Sao Tome and Principe,2.54,6.39,4.72,2.66,0.13,1.99,5.14
Jordan,2.44,5.59,3.53,2.92,0.08,1.28,4.85
Syria,2.26,4.18,3.36,2.8,0.12,1.17,4.95
